-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-492958
job_title                      | Associate, Software Engineer III
employer_name                  | JPMorgan Chase & Co.
secondary_entity_business_name | 
employer_phone                 | 13127322655
employer_poc_first_name        | Rocio/Sofia
employer_poc_last_name         | Pera/Cristeff
employer_poc_email             | N/A
employer_poc_phone             | 13127322655
employer_poc_phone_ext         | 
worksite_address1              | 880 Powder Mill Rd
worksite_address2              | 
worksite_city                  | Wilmington
worksite_county                | 
lawfirm_name_business_name     | Ogletree Deakins Nash Smoak & Stewart PC
employer_address1              | 10 S. Dearborn St.
employer_address2              | 
employer_city                  | Chicago
employer_state                 | IL
employer_postal_code           | 60603
begin_date                     | 2026-06-17
end_date                       | 2029-06-16
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | JPMorgan Chase & Co.
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-493116
job_title                      | Hospitalist Physician
employer_name                  | Apogee Medical Group, Delaware Inc
secondary_entity_business_name | 
employer_phone                 | 12143689600
employer_poc_first_name        | Jacqueline
employer_poc_last_name         | Gallina
employer_poc_email             | jacqueline.gallina@apogeephysicians.com
employer_poc_phone             | 16026896139
employer_poc_phone_ext         | 
worksite_address1              | 640 S State Street
worksite_address2              | 
worksite_city                  | Dover
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 8117 Preston Road
employer_address2              | Suite 800
employer_city                  | Dallas
employer_state                 | TX
employer_postal_code           | 75225
begin_date                     | 2026-06-15
end_date                       | 2029-06-14
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Apogee Medical Group, Delaware Inc
soc_code                       | 29-1229.02
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25352-493105
